symbol,primary_exchange_,bbg_prim_exch_symbol,short_name,industry_sector,industry_group,offering_type,pre/post,launch_date,px_date,start_date,"book_build_
days",uop,left_lead,active_book,co-managers,anncd_shares,priced_shares,upsize?,anncd_proceeds,"pre_shoe
_proceeds",type,pe_sellers,pricing,"dilution_
float",dilution_so,volume_avg_3m,deal_size_vs_adv,eqy_float,eqy_sh_out,short_int,dtc,si_percent_equity_float,beta,cur_mkt_cap,curr_entp_val,median_pt,pt_vs_launch_px,px_official_close,px_open,last_price,gap_%,chg_pct_5d,chg_pct_1m,change_from_ap,px_disc_from_launch,px_disc_from_open,trade_date,pricing_day_close,"subscription
_multiple_",mkting_vwap,"pre_open
_volume","pre_open_volume
_%_of_deal",td_open,"td_open_

vs_deal","td_open_vs_
pd_close",open_print_%,td_low_px,"td_low_px_
vs_deal",break,td_close,"td_close

vs_deal","td_close_
vs
pd_close","td_close
_
vs_td_open","td_vwap_
vs_deal","td_volume_
mkt_hours","mkt_hours_volume_
%_of_deal",td_total_volume,"td_volume_as_
%_of_priced_shares"
AYX US Equity,UN Equity,AYX UUN Equity,ALTERYX INC -A,Technology,Software,Sec,post,9/5/2017,9/7/2017,9/6/2017,2,Selling SHs,GS,JPM BAML,5,8,8,no change,$170.00 ,$170.00 ,Secondary,No,$21.25 ,85.65%,13.62%,"251,887",31.76,9.34,58.75,"1,857,923",7.38,19.89%,1.46,"$1,339.46 ","$1,187.34 ",$24.00 ,5%,$22.80 ,$22.13 ,,-2.94%,,,,-6.80%,-3.98%,9/8/2017,$21.48 ,3,$21.72 ,"412,872",5.16%,$20.70 ,-2.59%,-3.63%,,$19.41 ,-8.66%, YES ,$19.53 ,-8.09%,-9.08%,-5.65%,-6.09%,"5,476,062",68.45%,"5,888,934.00",73.60%
KTOS US Equity,UW Equity,KTOS UW Equity,KRATOS DEFENSE &,Industrial,Aerospace/Defense,Sec,post,9/5/2017,9/7/2017,9/6/2017,2,,JPM,GS,0,12.5,14,upsized,$153.10 ,$171.50 ,Primary,No,$12.25 ,17.54%,14.35%,"1,432,999",8.72,71.26,87.09,"9,026,345",6.3,12.68%,1.58,"$1,202.75 ","$1,471.25 ",$14.00 ,1%,$13.81 ,$13.89 ,,0.58%,,,,-11.30%,-11.81%,9/8/2017,$12.83 ,3,$13.13 ,"1,743,716",12.46%,$12.55 ,2.45%,-2.18%,,$12.19 ,-0.49%, YES ,$12.28 ,0.24%,-4.29%,-2.15%,1.35%,"10,455,968",74.69%,"12,199,684.00",87.10%
INSM US Equity,UW Equity,INSM UW Equity,INSMED INC,"Consumer, Non-cyclical",Biotechnology,Sec,post,9/5/2017,9/6/2017,9/6/2017,1,Drug Development,GS,LEER,2,10,12.28,upsized,$250.00 ,$349.98 ,Primary,No,$28.50 ,16.23%,16.03%,"1,032,974",9.68,61.61,62.38,"4,140,207",4.01,6.72%,1.54,"$1,683.58 ",$730.75 ,$38.00 ,41%,$26.99 ,$25.90 ,,-4.04%,,,,5.59%,10.04%,9/7/2017,$29.36 ,3,$28.32 ,"607,466",4.95%,$29.75 ,4.39%,1.33%,,$28.86 ,1.26%, NO ,$30.61 ,7.40%,4.26%,2.89%,6.33%,"10,482,198",85.36%,"11,089,664.00",90.30%
FGEN US Equity,UW Equity,FGEN UW Equity,FIBROGEN INC,"Consumer, Non-cyclical",Biotechnology,Sec,post,8/14/2017,8/15/2017,8/15/2017,1,Drug Development,GS,CITI LEER,0,7.14,8,upsized,$300.00 ,$326.00 ,Primary,No,$40.75 ,11.90%,10.03%,"805,891",8.86,60.02,71.2,"2,518,765",3.13,4.29%,1.85,"$3,136.15 ","$2,716.39 ",$75.00 ,70%,$44.05 ,$42.95 ,,-2.50%,,,,-7.49%,-5.12%,8/16/2017,$41.30 ,3,$42.19 ,"539,464",6.74%,$42.05 ,3.19%,1.82%,,$40.60 ,-0.37%, YES ,$40.75 ,0.00%,-1.33%,-3.09%,2.25%,"3,405,670",42.57%,"3,945,134.00",49.30%
YY US Equity,UW Equity,YY USUW Equity,YY INC-ADR,Communications,Internet,Sec,post,8/14/2017,8/15/2017,8/15/2017,1,,CS,GS CREN,0,5.75,5.75,no change,$402.50 ,$402.50 ,Primary,No,$70.00 ,ADR,10.33%,"1,489,337",3.86,#N/A N/A,38.69,"2,569,198",1.73,#VALUE!,1.16,"$4,484.60 ","$4,008.95 ",$88.50 ,10%,$80.58 ,$74.07 ,,-8.08%,,,,-13.13%,-5.49%,8/16/2017,$73.10 ,3,$74.46 ,"613,874",10.68%,$71.18 ,1.69%,-2.63%,,$70.46 ,0.66%, NO ,$72.00 ,2.86%,-1.50%,1.15%,2.59%,"6,186,326",107.59%,"6,800,200.00",118.30%
SRPT US Equity,UW Equity,SRPT UW Equity,SAREPTA THERAPEU,"Consumer, Non-cyclical",Pharmaceuticals,Sec,pre,7/24/2017,7/24/2017,7/24/2017,1,Drug Launch,GS,JPM CS,0,5.95,7.65,upsized,$250.00 ,$325.13 ,Primary,No,$42.50 ,11.65%,10.70%,"2,446,248",2.43,51.09,54.96,"12,347,248",5.05,24.18%,1.82,"$2,385.60 ","$2,095.09 ",$66.50 ,53%,$43.41 ,$42.63 ,,-1.80%,,,,-2.10%,-0.30%,7/25/2017,$43.95 ,3,$43.46 ,"697,628",9.12%,$42.84 ,0.80%,-2.53%,,$41.55 ,-2.24%, YES ,$42.54 ,0.09%,-3.21%,-0.70%,-0.20%,"10,526,226",137.60%,"11,223,854.00",146.70%
USAT US Equity,UV Equity,USAT UV Equity,USA TECHNOLOGIES,Technology,Computers,Sec,pre,7/17/2017,7/19/2017,7/17/2017,3,,WBLR,NLND CHLM BARR,0,7.07,8.33,upsized,$31.82 ,$37.49 ,Primary,No,$4.50 ,18.23%,16.36%,"196,461",35.99,38.77,40.33,"3,180,576",16.19,8.18%,0.99,$197.63 ,$214.98 ,$6.00 ,22%,$4.90 ,$4.95 ,,1.02%,,,,-8.16%,-9.09%,7/20/2017,$4.80 ,3,$5.06 ,"522,895",6.28%,$5.00 ,11.11%,4.17%,,$4.95 ,10.00%, NO ,$5.25 ,16.67%,9.38%,5.00%,15.98%,"3,797,618",45.59%,"4,320,513.00",51.90%
XPO US Equity,UN Equity,XPO UUN Equity,XPO LOGISTICS IN,Industrial,Transportation,Sec,pre,7/17/2017,7/19/2017,7/17/2017,3,GCP,MS,JPM ,0,11,11,no change,$665.50 ,$665.50 ,Primary,No,$60.50 ,9.95%,10.40%,"1,721,086",6.39,110.54,111.71,"10,126,887",5.88,9.16%,2.02,"$7,131.26 ","$12,121.96 ",$70.00 ,10%,$63.84 ,$62.50 ,,-2.10%,,,,-5.23%,-3.20%,7/20/2017,$60.51 ,3,$60.58 ,"995,065",9.05%,$60.98 ,0.79%,0.78%,,$60.44 ,-0.10%, YES ,$60.50 ,0.00%,-0.02%,-0.79%,0.71%,"7,748,951",70.45%,"8,744,016.00",79.50%
SHLO US Equity,UW Equity,SHLO UW Equity,SHILOH INDS,Basic Materials,Iron/Steel,Sec,post,7/10/2017,7/13/2017,7/11/2017,3,"GCP, Debt",JPM,BAML BMO,0,5,5,no change,$41.25 ,$41.25 ,Both,No,$8.25 ,57.97%,27.97%,"95,209",52.52,8.63,17.87,"453,943",4.77,5.26%,1.38,$221.10 ,$451.54 , #N/A N/A ,#VALUE!,$12.37 ,$11.31 ,,-8.57%,,,,-33.31%,-27.06%,7/14/2017,$9.11 ,3,$10.07 ,"713,302",14.27%,$8.60 ,4.24%,-5.60%,,$8.30 ,0.61%, NO ,$8.31 ,0.73%,-8.78%,-3.37%,5.83%,"3,697,264",73.95%,"4,410,566.00",88.20%
ARNA US Equity,UW Equity,ARNA UW Equity,ARENA PHARMACEUT,"Consumer, Non-cyclical",Biotechnology,Sec,post,7/11/2017,7/12/2017,7/12/2017,1,Drug Development,CITI,UBS LEER CANT,1,6.25,6.25,no change,$150.00 ,$150.00 ,Primary,No,$24.00 ,19.73%,19.67%,"682,958",9.15,31.68,31.78,"1,014,507",1.49,3.21%,1.77,$826.15 ,$516.33 ,$37.00 ,42%,$26.00 ,$25.10 ,,-3.46%,,,,-7.69%,-4.38%,7/13/2017,$25.36 ,3,$25.21 ,"686,393",10.98%,$24.64 ,2.67%,-2.84%,,$23.40 ,-2.50%, YES ,$24.54 ,2.25%,-3.23%,-0.41%,0.25%,"7,821,599",125.15%,"8,507,992.00",136.10%
GOOS US Equity,UN Equity,GOOS UN Equity,CANADA GOOSE HOL,"Consumer, Cyclical",Apparel,Sec,pre,6/26/2017,6/27/2017,6/26/2017,2,Selling SHs,CIBC,CS GS RBC GS MS BARC BAML WFC,2,12.5,12.5,no change,$259.38 ,$259.38 ,Secondary,Yes,$20.75 ,54.37%,12.08%,"949,462",13.17,22.99,106.7,"1,156,979",1.22,5.03%,1.55,"$2,328.14 ","$2,430.68 ",$22.00 ,0%,$21.92 ,$21.18 ,,-3.38%,,,,-5.34%,-2.03%,6/28/2017,$21.13 ,3,$21.21 ,"708,974",5.67%,$20.75 ,0.00%,-1.80%,,$20.25 ,-2.41%, YES ,$20.75 ,0.00%,-1.80%,0.00%,-0.52%,"8,434,914",67.48%,"9,143,888.00",73.20%
RGEN US Equity,UW Equity,RGEN UW Equity,REPLIGEN CORP,"Consumer, Non-cyclical",Healthcare-Products,Sec,post,6/26/2017,6/27/2017,6/27/2017,1,Drug Development,JPM,STEP  ,0,2.25,2.81,upsized,$96.07 ,$120.13 ,Primary,No,$42.75 ,6.69%,6.59%,"341,579",6.58,33.6,34.12,"3,322,230",9.73,9.90%,1.48,"$1,546.96 ","$1,462.46 ",$43.00 ,-5%,$45.34 ,$44.40 ,,-2.07%,,,,-5.71%,-3.72%,6/28/2017,$43.25 ,3,$43.87 ,"96,988",3.45%,$42.63 ,-0.28%,-1.43%,,$41.45 ,-3.04%, YES ,$41.60 ,-2.69%,-3.82%,-2.42%,-1.62%,"2,491,548",88.67%,"2,588,536.00",92.10%
AVXS US Equity,#N/A Real Time Equity,AVXS #N/A Real Time Equity,AVEXIS INC,"Consumer, Non-cyclical",Pharmaceuticals,Sec,post,6/19/2017,6/20/2017,6/20/2017,1,Drug Development,GS,JEFF BAML,2,2.86,3.58,upsized,$200.00 ,$250.60 ,Primary,No,$70.00 ,18.12%,10.28%,"548,026",5.21,15.76,27.8,"4,623,075",8.44,29.33%,1.18,"$2,002.04 ","$1,765.62 ",$95.00 ,32%,$72.03 ,$70.07 ,,-2.72%,,,,-2.82%,-0.10%,6/21/2017,$71.10 ,3,$71.31 ,"193,004",5.39%,$70.98 ,1.39%,-0.18%,,$69.66 ,-0.49%, YES ,$76.13 ,8.76%,7.07%,7.26%,4.26%,"2,107,881",58.88%,"2,300,885.00",64.30%
CWH US Equity,UN Equity,CWH UUN Equity,CAMPING WORLD-A,"Consumer, Cyclical",Leisure Time,Sec,post,5/22/2017,5/24/2017,5/23/2017,2,"Selling SHs, GCP",GS,JPM CS BAML,5,10,9.5,downsized,$277.50 ,$263.63 ,Both,Yes,$27.75 ,82.06%,11.80%,"479,632",20.85,12.19,81.3,"1,083,550",2.26,8.87%,1.27,"$2,459.69 ","$2,952.97 ",$42.00 ,45%,$29.02 ,$28.61 ,,-1.41%,,,,-4.38%,-3.01%,5/25/2017,$27.87 ,3,$27.95 ,"782,965",8.24%,$27.76 ,0.04%,-0.39%,,$27.25 ,-1.80%, YES ,$27.27 ,-1.73%,-2.15%,-1.77%,-0.22%,"4,677,812",49.24%,"5,460,777.00",57.50%
USFD US Equity,UN Equity,USFD UN Equity,US FOODS HOLDING,"Consumer, Non-cyclical",Food,Sec,post,5/10/2017,5/11/2017,5/11/2017,1,Selling SHs,GS,MS JPM,9,35,40,upsized,$988.75 ,"$1,130.00 ",Secondary,Yes,$28.25 ,36.77%,15.76%,"1,323,035",26.45,95.2,222.1,"1,741,847",1.32,1.84%,0.47,"$6,218.87 ","$10,271.55 ",$29.50 ,5%,$28.00 ,$27.93 ,,-0.25%,,,,0.89%,1.15%,5/12/2017,$28.39 ,3,$28.35 ,"1,290,217",3.23%,$28.40 ,0.53%,0.04%,,$28.32 ,0.25%, YES ,$28.60 ,1.24%,0.74%,0.70%,0.99%,"15,478,073",38.70%,"16,768,290.00",41.90%
MCRN US Equity,#N/A Real Time Equity,MCRN #N/A Real Time Equity,MILACRON HOLDING,Industrial,Hand/Machine Tools,Sec,post,5/1/2017,5/3/2017,5/2/2017,2,Selling SHs,CS,BARC BARD BAML GS JPM ,2,12,12,no change,$206.40 ,$206.40 ,Secondary,Yes,$17.20 ,31.82%,17.55%,"409,423",29.31,37.71,69.09,"1,037,443",2.53,2.75%,1.22,"$1,203.25 ","$2,138.06 ",$21.00 ,19%,$17.60 ,$17.51 ,,-0.51%,,,,-2.27%,-1.77%,5/4/2017,$17.50 ,3,$17.48 ,"775,430",6.46%,$17.45 ,1.45%,-0.29%,,$16.88 ,-1.86%, YES ,$17.17 ,-0.17%,-1.89%,-1.60%,0.06%,"5,421,240",45.18%,"6,196,670.00",51.60%
ICHR US Equity,UW Equity,ICHR UW Equity,ICHOR HOLDINGS L,Industrial,Machinery-Diversified,Sec,post,4/24/2017,4/26/2017,4/25/2017,2,Selling SHs,DB,STIF RBC NEED COWN,0,4.5,5.14,upsized,$96.00 ,$100.23 ,Secondary,Yes,$19.50 ,75.16%,18.20%,"362,533",12.41,5.99,24.73,"226,576",0.62,3.13%,2.66,$468.13 ,$445.50 ,$21.00 ,11%,$18.93 ,$19.50 ,,3.01%,,,,3.01%,0.00%,4/27/2017,$20.38 ,3,$20.52 ,"529,324",10.30%,$20.00 ,2.56%,-1.86%,,$18.70 ,-4.10%, YES ,$19.39 ,-0.56%,-4.86%,-3.05%,-0.79%,"4,209,748",81.90%,"4,739,072.00",92.20%
SITE US Equity,UN Equity,SITE UN Equity,SITEONE LANDSCAP,"Consumer, Cyclical",Distribution/Wholesale,Sec,post,4/24/2017,4/25/2017,4/25/2017,1,Selling SHs,DB,GS UBS BARD,9,8.5,10,upsized,$456.20 ,$475.00 ,Secondary,Yes,$47.50 ,38.63%,21.47%,"479,904",17.71,22.01,39.59,"2,363,744",4.93,10.74%,1.11,"$1,923.88 ","$2,397.00 ",$50.00 ,3%,$48.60 ,$47.59 ,,-2.08%,,,,-2.26%,-0.19%,4/26/2017,$48.20 ,3,$47.50 ,"755,261",7.55%,$47.75 ,0.53%,-0.93%,,$47.30 ,-0.42%, YES ,$47.50 ,0.00%,-1.45%,-0.52%,0.32%,"5,429,558",54.30%,"6,184,819.00",61.80%
BSBR US Equity,UN Equity,BSBR UN Equity,BANCO SANTANDER,Financial,Banks,Sec,pre,3/28/2017,4/5/2017,3/28/2017,7,Selling SHs,BAML,CS SANT,0,80,80,upsized,$646.80 ,$646.80 ,Secondary,No,$8.09 ,ADR,2.28%,"1,772,570",45.13,ADR,"3,781.54","16,001,745",9.03,ADR,1.5,"$37,188.43 ", #N/A N/A ,$6.20 ,-37%,$9.77 ,$9.30 ,,-4.81%,,,,-17.25%,-13.06%,4/6/2017,$8.36 ,3,$8.82 ,"8,512,108",10.64%,$8.28 ,2.41%,-0.96%,,$7.88 ,-2.54%, YES ,$7.90 ,-2.29%,-5.50%,-4.59%,,"37,948,453",47.44%,"46,460,561.00",58.10%
BLCM US Equity,UQ Equity,BLCM UQ Equity,BELLICUM PHARMAC,"Consumer, Non-cyclical",Biotechnology,Sec,post,3/22/2017,3/23/2017,3/23/2017,1,Drug Development,CITI,JEFF,0,5,5,no change,$60.00 ,$60.00 ,Primary,No,$12.00 ,21.75%,18.41%,"526,863",9.49,22.99,32.16,"3,702,517",7.03,16.11%,1.87,$390.26 ,$294.38 ,$285.00 ,1883%,$14.37 ,$13.37 ,,-6.96%,,,,-16.49%,-10.25%,3/24/2017,$12.90 ,3,$133.55 ,"613,012",12.26%,$12.90 ,7.50%,0.00%,,$12.00 ,0.00%, NO ,$12.04 ,0.33%,-6.67%,-6.67%,,"4,135,336",82.71%,"4,748,348.00",95.00%
EDIT US Equity,UW Equity,EDIT UW Equity,EDITAS MEDICINE,"Consumer, Non-cyclical",Biotechnology,Sec,post,3/15/2017,3/16/2017,3/16/2017,1,Drug Development,MS,JPM,2,4,4,no change,$90.00 ,$90.00 ,Primary,No,$22.50 ,18.15%,10.91%,"938,332",4.26,22.04,36.68,"3,750,755",4,17.02%,1.7,$903.79 ,$814.92 ,$33.50 ,36%,$24.64 ,$24.64 ,,0.00%,,,,-8.69%,-8.69%,3/17/2017,$24.91 ,3,$25.54 ,"883,645",22.09%,$22.90 ,1.78%,-8.07%,,$22.30 ,-0.89%, YES ,$22.30 ,-0.89%,-10.48%,-2.62%,1.95%,"5,718,703",142.97%,"6,602,348.00",165.10%
SBGI US Equity,UW Equity,SBGI UW Equity,SINCLAIR BROAD-A,Communications,Media,Sec,post,3/8/2017,3/9/2017,3/9/2017,1,Acq,WFC,JPM RBC,8,12,12,no change,$504.00 ,$504.00 ,Primary,No,$42.00 ,18.85%,13.28%,"1,397,048",8.59,63.68,76.82,"5,594,118",4,8.81%,1.16,"$3,758.14 ","$7,740.90 ",$45.00 ,8%,$41.60 ,$40.65 ,,-2.28%,,,,0.96%,3.32%,3/10/2017,$42.90 ,3,$42.40 ,"1,204,714",10.04%,$41.85 ,-0.36%,-2.45%,,$40.70 ,-3.10%, YES ,$41.25 ,-1.79%,-3.85%,-1.43%,-1.93%,"10,636,388",88.64%,"11,841,102.00",98.70%
IBKC US Equity,UW Equity,IBKC UW Equity,IBERIABANK CORP,Financial,Banks,Sec,post,2/28/2017,3/1/2017,3/1/2017,1,Acq,GS,UBS,0,6.1,6.1,upsized,$500.00 ,$506.30 ,Primary,No,$83.00 ,13.89%,13.61%,"529,210",11.52,43.91,44.8,"976,059",1.84,2.22%,1.19,"$3,797.05 ", #N/A N/A ,$91.00 ,7%,$84.75 ,$83.50 ,,-1.47%,,,,-2.06%,-0.60%,3/2/2017,$83.80 ,3,$83.36 ,"454,216",7.45%,$83.50 ,0.60%,-0.36%,,$82.20 ,-0.96%, YES ,$82.60 ,-0.48%,-1.43%,-1.08%,-0.09%,"3,472,331",56.92%,"3,926,547.00",64.40%
NTB US Equity,UN Equity,NTB UUN Equity,BANK OF NT BUTTE,Financial,Banks,Sec,post,2/21/2017,2/22/2017,2/22/2017,1,Selling SHs,GS,SAND KBW CITI,2,9.56,9.56,no change,$303.53 ,$303.53 ,Secondary,Yes,$31.75 ,28.24%,17.95%,"296,501",32.24,33.85,53.25,"133,998",0.45,0.40%,0.24,"$1,753.55 ", #N/A N/A ,$35.00 ,6%,$32.93 ,$32.25 ,,-2.06%,,,,-3.58%,-1.55%,2/23/2017,$32.41 ,3,$32.20 ,"612,654",6.41%,$32.15 ,1.26%,-0.80%,,$31.54 ,-0.66%, YES ,$31.65 ,-0.31%,-2.34%,-1.56%,0.45%,"3,509,687",36.71%,"4,122,341.00",43.10%
ATKR US Equity,UN Equity,ATKR UN Equity,ATKORE INTERNATI,Industrial,Metal Fabricate/Hardware,Sec,post,2/15/2017,2/16/2017,2/16/2017,1,Selling SHs,CS,WFC UBS RBC JPM DB CITI,0,8,9,upsized,$200.00 ,$225.00 ,Secondary,Yes,$25.00 ,36.48%,12.67%,"486,180",16.45,21.93,63.12,"656,160",1.35,2.99%,0.96,"$1,671.46 ","$2,067.76 ",$27.00 ,2%,$26.48 ,$25.57 ,,-3.44%,,,,-5.59%,-2.23%,2/17/2017,$25.51 ,3,$25.56 ,"681,069",7.57%,$25.60 ,2.40%,0.35%,,$25.10 ,0.40%, NO ,$25.60 ,2.40%,0.35%,0.00%,2.31%,"5,068,417",56.32%,"5,749,486.00",63.90%
FHB US Equity,UW Equity,FHB UUW Equity,FIRST HAWAIIA,Financial,Banks,Sec,post,1/30/2017,1/31/2017,1/31/2017,1,Selling SHs,GS,JPM BNP BAML,5,25,25,no change,$800.00 ,$800.00 ,Secondary,No,$32.00 ,103.35%,17.92%,"665,273",37.58,24.19,139.53,"911,337",1.92,4.31%,0.73,"$4,601.72 ", #N/A N/A ,$35.50 ,8%,$32.98 ,$32.38 ,,-1.82%,,,,-2.97%,-1.17%,2/1/2017,$32.99 ,3,$32.43 ,"1,474,363",5.90%,$32.20 ,0.63%,-2.39%,,$31.50 ,-1.56%, YES ,$31.65 ,-1.09%,-4.06%,-1.71%,-0.44%,"11,573,882",46.30%,"13,048,245.00",52.20%
MC US Equity,UN Equity,MC USUN Equity,MOELIS & CO-CL A,Financial,Diversified Finan Serv,Sec,post,1/4/2017,1/5/2017,1/5/2017,1,Selling SHs,GS,UBS MS MC JPM BAML,1,5,5,no change,$163.75 ,$163.75 ,Syn Sec,No,$32.75 ,24.42%,9.19%,"310,633",16.1,20.47,54.27,"830,208",2.67,4.06%,1.2,"$1,898.82 ","$1,570.53 ",$29.00 ,-17%,$34.90 ,$32.65 ,,-6.45%,,,,-6.16%,0.31%,1/6/2017,$33.60 ,3,$33.61 ,"499,883",10.00%,$33.65 ,2.75%,0.15%,,$32.90 ,0.46%, NO ,$33.75 ,3.05%,0.45%,0.30%,2.33%,"3,107,444",62.15%,"3,607,327.00",72.10%
CLVS US Equity,UW Equity,CLVS UW Equity,CLOVIS ONCOLOGY,"Consumer, Non-cyclical",Pharmaceuticals,Sec,pre,1/3/2017,1/3/2017,1/3/2017,1,Drug Development,JPM,COWN,2,4.27,5,upsized,$175.00 ,$205.00 ,Primary,No,$41.00 ,12.76%,11.44%,"2,340,226",1.82,33.45,38.59,"7,950,446",3.4,23.77%,1.34,"$1,713.98 ","$1,728.92 ",$49.00 ,10%,$44.42 ,$43.70 ,,-1.62%,,,,-7.70%,-6.18%,1/4/2017,$42.95 ,3,$41.87 ,"518,340",10.37%,$42.28 ,3.12%,-1.56%,,$41.31 ,0.76%, NO ,$44.67 ,8.95%,4.00%,5.65%,5.37%,"5,961,445",119.23%,"6,479,785.00",129.60%
BSIG  US Equity,UN Equity,BSIG UN Equity,OM ASSET MANAGEM,Financial,Diversified Finan Serv,Sec,post,12/12/2016,12/13/2016,12/13/2016,1,Selling SHs,BAML,MS CITI,2,13,13,no change,$195.00 ,$185.25 ,Secondary,No,$14.25 ,33.03%,10.82%,"484,822",26.81,39.35,120.16,"546,759",1.13,1.39%,1.24,"$1,834.81 ","$2,108.74 ", #N/A N/A ,#VALUE!,$15.27 ,$14.95 ,,-2.10%,,,-100.00%,-6.68%,-4.68%,12/14/2016,$14.52 ,3,$14.53 ,"1,105,539",8.50%,$14.47 ,1.54%,-0.34%,,$13.99 ,-1.82%, YES ,$14.00 ,-1.75%,-3.58%,-3.25%,-0.43%,"6,684,450",51.42%,"7,789,989.00",59.90%
PI US Equity,UW Equity,PI USUW Equity,IMPINJ INC,Technology,Semiconductors,Sec,post,11/28/2016,12/1/2016,11/29/2016,3,GCP,MS,RBC PCST PJ,2,3.52,3.52,no change,$75.00 ,$95.04 ,Both,No,$27.00 ,60.96%,18.74%,"677,028",5.2,5.77,18.78,"1,141,027",1.69,19.76%,2.65,$499.09 ,$489.58 ,$36.00 ,35%,$26.57 ,$25.25 ,,-4.97%,,,,1.62%,6.93%,12/2/2016,$27.71 ,3,$26.31 ,"313,093",8.89%,$29.00 ,7.41%,4.66%,,$26.40 ,-2.22%, YES ,$26.72 ,-1.04%,-3.57%,-7.86%,2.44%,"2,739,206",77.82%,"3,052,299.00",86.70%
SITE US Equity,UN Equity,SITE UN Equity,SITEONE LANDSCAP,"Consumer, Cyclical",Distribution/Wholesale,Sec,post,11/28/2016,11/29/2016,11/29/2016,1,Selling SHs,GS,UBS BARD BARC RBC WBLR ,5,8,9,upsized,$264.00 ,$297.00 ,Secondary,Yes,$33.00 ,68.86%,20.23%,"505,592",15.82,11.62,39.54,"1,376,731",2.72,11.85%,0.99,"$1,386.75 ","$1,826.90 ",$40.00 ,14%,$35.07 ,$33.50 ,,-4.48%,,,,-5.90%,-1.49%,11/30/2016,$33.74 ,3,$33.59 ,"691,929",7.69%,$33.80 ,2.42%,0.18%,,$32.81 ,-0.58%, YES ,$33.50 ,1.52%,-0.71%,-0.89%,1.27%,"5,548,423",61.65%,"6,240,352.00",69.30%
VSAT US Equity,UW Equity,VSAT UW Equity,VIASAT INC,Communications,Telecommunications,Sec,post,11/15/2016,11/17/2016,11/16/2016,2,Acq,JPM,MS CS BAML ,0,6.5,6.5,no change,$468.00 ,$453.31 ,Primary,No,$69.74 ,14.26%,13.13%,"375,053",17.33,45.57,49.49,"5,239,526",13.97,11.50%,1.05,"$3,998.02 ","$5,002.94 ",$71.50 ,-11%,$80.79 ,$75.10 ,,-7.04%,,,,-13.68%,-7.14%,11/18/2016,$69.74 ,3,$71.58 ,"663,409",10.21%,$73.76 ,5.76%,5.76%,,$71.71 ,2.82%, NO ,$72.97 ,4.63%,4.63%,-1.07%,4.66%,"3,946,891",60.72%,"4,610,300.00",70.90%
AGIO US Equity,UW Equity,AGIO UW Equity,AGIOS PHARMACEUT,"Consumer, Non-cyclical",Pharmaceuticals,Sec,post,9/13/2016,9/14/2016,9/14/2016,1,Drug Development,JPM,GS,1,3.4,3.4,no change,$151.30 ,$151.30 ,Primary,No,$44.50 ,11.27%,8.94%,"723,676",4.7,30.18,38.05,"6,359,275",8.79,21.07%,1.84,"$1,748.23 ","$1,230.23 ",$68.00 ,48%,$45.95 ,$43.99 ,,-4.27%,,,,-3.16%,1.16%,9/15/2016,$45.26 ,3,$44.84 ,"108,623",3.19%,$46.55 ,4.61%,2.85%,,$45.26 ,1.71%, NO ,$45.89 ,3.12%,1.39%,-1.42%,3.87%,"2,113,108",62.15%,"2,221,731.00",65.30%
EVH US Equity,UN Equity,EVH UUN Equity,EVOLENT HEALTH-A,Technology,Software,Sec,post,9/6/2016,9/8/2016,9/7/2016,2,Selling SHs,JPM,GS,6,7,7.5,upsized,$157.50 ,$168.75 ,Secondary,Yes,$22.50 ,43.62%,11.61%,"586,274",11.94,16.05,42.79,"2,853,294",4.87,17.90%,1.05,"$1,487.36 ","$1,599.34 ",$30.00 ,22%,$24.66 ,$23.36 ,,-5.27%,,,,-8.76%,-3.68%,9/9/2016,$23.15 ,3,$23.01 ,"422,559",5.63%,$22.70 ,0.89%,-1.94%,,$22.20 ,-1.33%, YES ,$22.41 ,-0.40%,-3.20%,-1.28%,-0.10%,"3,372,265",44.96%,"3,794,824.00",50.60%
PTI US Equity,UQ Equity,PTI UUQ Equity,PROTEOSTASIS THE,"Consumer, Non-cyclical",Pharmaceuticals,Sec,pre,9/6/2016,9/8/2016,9/6/2016,3,Drug Development,CS,JPM ,2,4.25,5,upsized,$60.00 ,$65.00 ,Primary,No,$13.00 ,67.33%,22.94%,"267,799",15.87,6.31,19.18,"920,962",3.44,14.59%,1.18,$292.35 ,$249.71 ,$20.00 ,31%,$15.24 ,$14.26 ,,-6.43%,,,,-14.70%,-8.84%,9/9/2016,$13.36 ,3,$13.88 ,"201,418",4.03%,$13.00 ,0.00%,-2.69%,,$12.29 ,-5.46%, YES ,$12.64 ,-2.77%,-5.39%,-2.77%,-0.57%,"2,914,490",58.29%,"3,115,908.00",62.30%
